N°        MODEL           OUTPUT_SIZE     NEURONS         NUM_REFS        MODEL_SIZE      METHOD          THRESHOLD       PROBABILITY     TIME(ns)        RESULT         
1          0               2               256             0               2167816         BEST            0.95            0.999632        3186            OK             
161        0               2               256             0               2167816         BEST            0.50            0.997682        3244            OK             
1          0               2               256             0               2167816         BEST            0.55            0.997682        3244            OK             
1          0               2               256             0               2167816         BEST            0.60            0.997682        3244            OK             
1          0               2               256             0               2167816         BEST            0.65            0.997682        3244            OK             
1          0               2               256             0               2167816         BEST            0.70            0.997682        3244            OK             
1          0               2               256             0               2167816         BEST            0.75            0.997682        3244            OK             
1          0               2               256             0               2167816         BEST            0.80            0.997682        3244            OK             
1          0               2               256             0               2167816         BEST            0.85            0.997682        3244            OK             
1          0               2               256             0               2167816         BEST            0.90            0.997682        3244            OK             
1          0               2               256             0               2167816         BEST            0.95            0.997682        3244            OK             
171        0               2               256             0               2167816         BEST            0.50            0.996276        3232            OK             
1          0               2               256             0               2167816         BEST            0.55            0.996276        3232            OK             
1          0               2               256             0               2167816         BEST            0.60            0.996276        3232            OK             
1          0               2               256             0               2167816         BEST            0.65            0.996276        3232            OK             
1          0               2               256             0               2167816         BEST            0.70            0.996276        3232            OK             
1          0               2               256             0               2167816         BEST            0.75            0.996276        3232            OK             
1          0               2               256             0               2167816         BEST            0.80            0.996276        3232            OK             
1          0               2               256             0               2167816         BEST            0.85            0.996276        3232            OK             
1          0               2               256             0               2167816         BEST            0.90            0.996276        3232            OK             
1          0               2               256             0               2167816         BEST            0.95            0.996276        3232            OK             
181        0               2               256             0               2167816         BEST            0.50            0.999999        3214            OK             
1          0               2               256             0               2167816         BEST            0.55            0.999999        3214            OK             
1          0               2               256             0               2167816         BEST            0.60            0.999999        3214            OK             
1          0               2               256             0               2167816         BEST            0.65            0.999999        3214            OK             
1          0               2               256             0               2167816         BEST            0.70            0.999999        3214            OK             
1          0               2               256             0               2167816         BEST            0.75            0.999999        3214            OK             
1          0               2               256             0               2167816         BEST            0.80            0.999999        3214            OK             
1          0               2               256             0               2167816         BEST            0.85            0.999999        3214            OK             
1          0               2               256             0               2167816         BEST            0.90            0.999999        3214            OK             
1          0               2               256             0               2167816         BEST            0.95            0.999999        3214            OK             
191        0               2               256             0               2167816         BEST            0.50            0.996593        3212            OK             
1          0               2               256             0               2167816         BEST            0.55            0.996593        3212            OK             
1          0               2               256             0               2167816         BEST            0.60            0.996593        3212            OK             
1          0               2               256             0               2167816         BEST            0.65            0.996593        3212            OK             
1          0               2               256             0               2167816         BEST            0.70            0.996593        3212            OK             
1          0               2               256             0               2167816         BEST            0.75            0.996593        3212            OK             
1          0               2               256             0               2167816         BEST            0.80            0.996593        3212            OK             
1          0               2               256             0               2167816         BEST            0.85            0.996593        3212            OK             
1          0               2               256             0               2167816         BEST            0.90            0.996593        3212            OK             
1          0               2               256             0               2167816         BEST            0.95            0.996593        3212            OK             
201        0               2               256             0               2167816         BEST            0.50            0.999800        3208            OK             
1          0               2               256             0               2167816         BEST            0.55            0.999800        3208            OK             
1          0               2               256             0               2167816         BEST            0.60            0.999800        3208            OK             
1          0               2               256             0               2167816         BEST            0.65            0.999800        3208            OK             
1          0               2               256             0               2167816         BEST            0.70            0.999800        3208            OK             
1          0               2               256             0               2167816         BEST            0.75            0.999800        3208            OK             
