N°        MODEL           OUTPUT_SIZE     NEURONS         NUM_REFS        MODEL_SIZE      METHOD          THRESHOLD       PROBABILITY     TIME(ns)        RESULT         
1          0               2               256             0               2167816         BEST            0.65            0.000004        3208            NO             
1          0               2               256             0               2167816         BEST            0.70            0.000004        3208            NO             
1          0               2               256             0               2167816         BEST            0.75            0.000004        3208            NO             
1          0               2               256             0               2167816         BEST            0.80            0.000004        3208            NO             
1          0               2               256             0               2167816         BEST            0.85            0.000004        3208            NO             
1          0               2               256             0               2167816         BEST            0.90            0.000004        3208            NO             
1          0               2               256             0               2167816         BEST            0.95            0.000004        3208            NO             
151        0               2               256             0               2167816         BEST            0.50            0.002849        3209            NO             
1          0               2               256             0               2167816         BEST            0.55            0.002849        3209            NO             
1          0               2               256             0               2167816         BEST            0.60            0.002849        3209            NO             
1          0               2               256             0               2167816         BEST            0.65            0.002849        3209            NO             
1          0               2               256             0               2167816         BEST            0.70            0.002849        3209            NO             
1          0               2               256             0               2167816         BEST            0.75            0.002849        3209            NO             
1          0               2               256             0               2167816         BEST            0.80            0.002849        3209            NO             
1          0               2               256             0               2167816         BEST            0.85            0.002849        3209            NO             
1          0               2               256             0               2167816         BEST            0.90            0.002849        3209            NO             
1          0               2               256             0               2167816         BEST            0.95            0.002849        3209            NO             
161        0               2               256             0               2167816         BEST            0.50            0.000029        3206            NO             
1          0               2               256             0               2167816         BEST            0.55            0.000029        3206            NO             
1          0               2               256             0               2167816         BEST            0.60            0.000029        3206            NO             
1          0               2               256             0               2167816         BEST            0.65            0.000029        3206            NO             
1          0               2               256             0               2167816         BEST            0.70            0.000029        3206            NO             
1          0               2               256             0               2167816         BEST            0.75            0.000029        3206            NO             
1          0               2               256             0               2167816         BEST            0.80            0.000029        3206            NO             
1          0               2               256             0               2167816         BEST            0.85            0.000029        3206            NO             
1          0               2               256             0               2167816         BEST            0.90            0.000029        3206            NO             
1          0               2               256             0               2167816         BEST            0.95            0.000029        3206            NO             
171        0               2               256             0               2167816         BEST            0.50            0.000740        3215            NO             
1          0               2               256             0               2167816         BEST            0.55            0.000740        3215            NO             
1          0               2               256             0               2167816         BEST            0.60            0.000740        3215            NO             
1          0               2               256             0               2167816         BEST            0.65            0.000740        3215            NO             
1          0               2               256             0               2167816         BEST            0.70            0.000740        3215            NO             
1          0               2               256             0               2167816         BEST            0.75            0.000740        3215            NO             
1          0               2               256             0               2167816         BEST            0.80            0.000740        3215            NO             
1          0               2               256             0               2167816         BEST            0.85            0.000740        3215            NO             
1          0               2               256             0               2167816         BEST            0.90            0.000740        3215            NO             
1          0               2               256             0               2167816         BEST            0.95            0.000740        3215            NO             
181        0               2               256             0               2167816         BEST            0.50            0.001763        3188            NO             
1          0               2               256             0               2167816         BEST            0.55            0.001763        3188            NO             
1          0               2               256             0               2167816         BEST            0.60            0.001763        3188            NO             
1          0               2               256             0               2167816         BEST            0.65            0.001763        3188            NO             
1          0               2               256             0               2167816         BEST            0.70            0.001763        3188            NO             
1          0               2               256             0               2167816         BEST            0.75            0.001763        3188            NO             
1          0               2               256             0               2167816         BEST            0.80            0.001763        3188            NO             
1          0               2               256             0               2167816         BEST            0.85            0.001763        3188            NO             
1          0               2               256             0               2167816         BEST            0.90            0.001763        3188            NO             
1          0               2               256             0               2167816         BEST            0.95            0.001763        3188            NO             
191        0               2               256             0               2167816         BEST            0.50            0.009493        3256            NO             
1          0               2               256             0               2167816         BEST            0.55            0.009493        3256            NO             
1          0               2               256             0               2167816         BEST            0.60            0.009493        3256            NO             
1          0               2               256             0               2167816         BEST            0.65            0.009493        3256            NO             
1          0               2               256             0               2167816         BEST            0.70            0.009493        3256            NO             
1          0               2               256             0               2167816         BEST            0.75            0.009493        3256            NO             
1          0               2               256             0               2167816         BEST            0.80            0.009493        3256            NO             
1          0               2               256             0               2167816         BEST            0.85            0.009493        3256            NO             
1          0               2               256             0               2167816         BEST            0.90            0.009493        3256            NO             
1          0               2               256             0               2167816         BEST            0.95            0.009493        3256            NO             
201        0               2               256             0               2167816         BEST            0.50            0.042380        3223            NO             
1          0               2               256             0               2167816         BEST            0.55            0.042380        3223            NO             
1          0               2               256             0               2167816         BEST            0.60            0.042380        3223            NO             
1          0               2               256             0               2167816         BEST            0.65            0.042380        3223            NO             
1          0               2               256             0               2167816         BEST            0.70            0.042380        3223            NO             
1          0               2               256             0               2167816         BEST            0.75            0.042380        3223            NO             
1          0               2               256             0               2167816         BEST            0.80            0.042380        3223            NO             
1          0               2               256             0               2167816         BEST            0.85            0.042380        3223            NO             
1          0               2               256             0               2167816         BEST            0.90            0.042380        3223            NO             
1          0               2               256             0               2167816         BEST            0.95            0.042380        3223            NO             
211        0               2               256             0               2167816         BEST            0.50            0.534841        3223            OK             
1          0               2               256             0               2167816         BEST            0.55            0.534841        3223            NO             
1          0               2               256             0               2167816         BEST            0.60            0.534841        3223            NO             
1          0               2               256             0               2167816         BEST            0.65            0.534841        3223            NO             
1          0               2               256             0               2167816         BEST            0.70            0.534841        3223            NO             
1          0               2               256             0               2167816         BEST            0.75            0.534841        3223            NO             
1          0               2               256             0               2167816         BEST            0.80            0.534841        3223            NO             
1          0               2               256             0               2167816         BEST            0.85            0.534841        3223            NO             
1          0               2               256             0               2167816         BEST            0.90            0.534841        3223            NO             
1          0               2               256             0               2167816         BEST            0.95            0.534841        3223            NO             
221        0               2               256             0               2167816         BEST            0.50            0.880821        3223            OK             
1          0               2               256             0               2167816         BEST            0.55            0.880821        3223            OK             
1          0               2               256             0               2167816         BEST            0.60            0.880821        3223            OK             
1          0               2               256             0               2167816         BEST            0.65            0.880821        3223            OK             
1          0               2               256             0               2167816         BEST            0.70            0.880821        3223            OK             
1          0               2               256             0               2167816         BEST            0.75            0.880821        3223            OK             
1          0               2               256             0               2167816         BEST            0.80            0.880821        3223            OK             
1          0               2               256             0               2167816         BEST            0.85            0.880821        3223            OK             
1          0               2               256             0               2167816         BEST            0.90            0.880821        3223            NO             
1          0               2               256             0               2167816         BEST            0.95            0.880821        3223            NO             
231        0               2               256             0               2167816         BEST            0.50            0.004781        5021            NO             
1          0               2               256             0               2167816         BEST            0.55            0.004781        5021            NO             
1          0               2               256             0               2167816         BEST            0.60            0.004781        5021            NO             
1          0               2               256             0               2167816         BEST            0.65            0.004781        5021            NO             
1          0               2               256             0               2167816         BEST            0.70            0.004781        5021            NO             
1          0               2               256             0               2167816         BEST            0.75            0.004781        5021            NO             
1          0               2               256             0               2167816         BEST            0.80            0.004781        5021            NO             
1          0               2               256             0               2167816         BEST            0.85            0.004781        5021            NO             
1          0               2               256             0               2167816         BEST            0.90            0.004781        5021            NO             
1          0               2               256             0               2167816         BEST            0.95            0.004781        5021            NO             
241        0               2               256             0               2167816         BEST            0.50            0.016042        4240            NO             
1          0               2               256             0               2167816         BEST            0.55            0.016042        4240            NO             
1          0               2               256             0               2167816         BEST            0.60            0.016042        4240            NO             
1          0               2               256             0               2167816         BEST            0.65            0.016042        4240            NO             
1          0               2               256             0               2167816         BEST            0.70            0.016042        4240            NO             
1          0               2               256             0               2167816         BEST            0.75            0.016042        4240            NO             
1          0               2               256             0               2167816         BEST            0.80            0.016042        4240            NO             
1          0               2               256             0               2167816         BEST            0.85            0.016042        4240            NO             
1          0               2               256             0               2167816         BEST            0.90            0.016042        4240            NO             
1          0               2               256             0               2167816         BEST            0.95            0.016042        4240            NO             
251        0               2               256             0               2167816         BEST            0.50            0.488165        4736            NO             
1          0               2               256             0               2167816         BEST            0.55            0.488165        4736            NO             
1          0               2               256             0               2167816         BEST            0.60            0.488165        4736            NO             
1          0               2               256             0               2167816         BEST            0.65            0.488165        4736            NO             
1          0               2               256             0               2167816         BEST            0.70            0.488165        4736            NO             
1          0               2               256             0               2167816         BEST            0.75            0.488165        4736            NO             
1          0               2               256             0               2167816         BEST            0.80            0.488165        4736            NO             
1          0               2               256             0               2167816         BEST            0.85            0.488165        4736            NO             
1          0               2               256             0               2167816         BEST            0.90            0.488165        4736            NO             
1          0               2               256             0               2167816         BEST            0.95            0.488165        4736            NO             
261        0               2               256             0               2167816         BEST            0.50            0.016669        4443            NO             
1          0               2               256             0               2167816         BEST            0.55            0.016669        4443            NO             
1          0               2               256             0               2167816         BEST            0.60            0.016669        4443            NO             
